filename,file_size,num_sections,num_imported_functions,num_exported_functions,has_signature,avg_section_entropy,label
TurtleRansom-v0-macos-arm64.pkg,2108610,21,59,0,0,4.556791333821694,1
TurtleRansom-v0-macos-amd64-softfloat.pkg,2093040,20,55,0,0,4.562668293748411,1
kIbwf02l,127808,7,2,1,0,2.18555189081032,1
VSearch,100872,13,114,11,0,3.1637802033960534,1
prl-monitor,67408,15,59,1,0,2.5305091981726657,1
JavaApplicationStub,64532,12,0,0,0,2.61320886989114,1
Mac-Installer.InstallerAlert,232160,29,159,1,0,2.824366253898369,1
growth,5337372,13,131,18,0,2.5591119148190598,1
com.apple.secd,10559024,14,100,0,0,3.411701651890149,1
patch,87920,13,96,0,0,2.8563070646291795,1
Cuckoo,370704,11,97,1,0,3.6059532008956983,1
XslCmd,345360,20,151,3,0,2.9384814838536326,1
e9a3ed810c5f4411a3978a160391aaf1,50096,5,7,2,0,3.186902261868408,1
MaMi,565673,31,379,293,0,2.861692577764831,1
Ventir,352160,12,23,17,0,2.5521562124421404,1
Systemd,190554,16,169,0,0,2.9872134561196955,1
xcc(3),87712,22,162,2,0,2.5624620076412445,1
xcc(2),87920,24,163,2,0,2.382303979850492,1
xcc,202400,22,162,2,0,2.5624620076412445,1
TodoTasks,442528,36,418,1,0,2.7662949468137947,1
pplauncher,3468424,20,30,0,0,3.708083568210642,1
mshelper,390604,15,235,740,0,3.0712294510450753,1
iWorkServ,200576,21,97,0,0,2.8267949172545648,1
iWorkServ,205164,25,99,0,0,2.912952480791857,1
Tsunami,42348,14,55,58,0,2.1648425679121717,1
UnPackNw,102464,27,123,9,0,2.3036907378252702,1
libConfigurer64.dylib,71296,12,43,23,0,2.5056601488304273,1
UltraEdit,65543568,31,1372,6339,0,3.5670122377750317,1
test,2689776,16,274,4948,0,3.286110747904418,1
fseventsd,67384,10,45,23,0,2.875736831143233,1
GoogleUpdate_UNPACKED,5961476,12,165,0,0,3.8037993345326604,1
libcrypto.2.dylib,510432,31,472,75,0,2.707723880295816,1
GetShell,20800,4,1,0,0,1.857258242720703,1
apple.finder,2471616,21,61,0,0,4.52318496863394,1
CloudChat,87681744,37,1546,257,0,3.1805678433041584,1
Updater,83664,26,91,1,0,2.172572606499006,1
libCloudchat.dylib,1839776,15,64,0,0,3.3439343792761087,1
clip_.Safari_V8_config,3566224,21,75,0,0,4.643545115158555,1
CloudChat,87681744,37,1546,257,0,3.1805678433041584,1
Updater,83664,26,91,1,0,2.172572606499006,1
libCloudchat.dylib,5600896,18,115,23,0,3.3430348558702856,1
SMSSend,13208680,31,105,0,0,2.6574119734592205,1
Mac File Opener,275184,29,57,10,0,2.685196749953649,1
Le╠é Thu Ha╠Ç (HAEDC),162688,15,81,1,0,3.406247147970161,1
Le╠é Thu Ha╠Ç (HAEDC),162688,15,81,1,0,3.406247147970161,1
rodrigo_HexEncoded,291360,12,68,92,0,3.27475320664913,1
rodrigo_Base32Encoded,248352,9,38,14,0,3.211629408738083,1
xib2Storyboard_SignedNotarized,202480,27,55,1,0,2.643213192737553,1
mdworker,114896,12,138,0,0,2.48922499977936,1
Macarena,16916,10,36,0,0,1.4998787153726214,1
XAgent,385068,33,469,9,0,2.735292909987641,1
WireLurker,3293420,24,55,9,0,2.3128533305744665,1
Lamadai,42556,10,115,0,0,2.262672210315072,1
Olyx,44120,11,48,1,0,3.2584229964269538,1
Olyx,46120,8,37,0,0,3.000783577977441,1
Revir.dmg,188951,10,21,6,0,2.3499661470298614,1
Revir,39596,21,25,7,0,2.0267719939347444,1
Revir,28672,12,15,6,0,2.376167549219733,1
lckmac,3120592,17,84,33,0,2.9623981138047903,1
lc,9252840,17,125,27,0,3.0486608086162486,1
22,9719369,17,126,28,0,3.343987832566012,1
install,791264,8,2,6,0,2.7670943843751656,1
Crisis,678784,8,2,6,0,1.7926231018354877,1
SubMenu.nib,673092,14,119,109,0,3.6266250613470965,1
applet,25032,9,4,1,0,2.1250993882644775,1
applet,25032,9,4,1,0,2.1250993882644775,1
Genieo,1175440,33,375,6,0,2.6940744199210873,1
63098c56b112c40522d224caae42b2aa44e5d62205457c1955782776d1915d6c,156544,12,68,68,0,2.9483938027690275,1
Jami,770832,14,144,28,0,3.3428546816342246,1
ef130f1941077ffe383fe90e241620dde771cd0dd496dad29d2048d5fc478faf,4592592,20,47,0,0,4.444076481236147,1
payload.so,2349936,20,97,26,0,2.8236270749699117,1
applet,134144,4,2,1,0,2.6491858051067383,1
applet,134144,4,2,1,0,2.6491858051067383,1
liboptimizer.dylib,10748064,20,197,384,0,3.5839342315585823,1
BackTrack,101248,30,116,25,0,2.422296826838991,1
AbkPro,389852,25,170,0,0,2.888672624667677,1
skypelog,39812,9,36,0,0,2.506167482533011,1
LogKextInstaller,71896,20,35,0,0,2.2398636596047963,1
libsqlite3.7.5.dylib,1801716,10,74,0,0,3.2738108748672303,1
Connection,1632596,26,367,0,0,3.441856335396398,1
DropletLauncher,46860,19,16,0,0,1.852479868442704,1
Connection,1632596,26,367,0,0,3.441856335396398,1
DropletLauncher,46860,19,16,0,0,1.852479868442704,1
Connection,1632596,26,367,0,0,3.441856335396398,1
DropletLauncher,46860,19,16,0,0,1.852479868442704,1
EDCommon,458220,27,138,0,0,3.4400588472150826,1
EDCommon,458220,27,138,0,0,3.4400588472150826,1
EDCommon,458220,27,138,0,0,3.4400588472150826,1
EDMessage,377628,26,96,0,0,3.0073686161904623,1
EDMessage,377628,26,96,0,0,3.0073686161904623,1
EDMessage,377628,26,96,0,0,3.0073686161904623,1
ShortcutRecorder,238516,24,88,0,0,2.6209535977880543,1
ShortcutRecorder,238516,24,88,0,0,2.6209535977880543,1
ShortcutRecorder,238516,24,88,0,0,2.6209535977880543,1
banshee,920200,11,153,538,0,3.6040321788696943,1
SpellingChecker,154224,28,148,1,0,2.4370153986738177,1
IPStorm,8216592,1,0,0,0,7.884165204760172,1
IPStorm_unpacked,20172924,19,148,49,0,3.1643091063624653,1
PerfectKeylog,25356,19,24,0,0,2.052864802006009,1
LaoShu,43072,31,59,1,0,2.247169662422377,1
MacSpy,5556068,42,714,1,0,2.9988326642499183,1
Careto,89828,11,51,0,0,2.9974156986230995,1
Install Adobe Flash Player,949216,33,380,201,0,2.986632480004015,1
Install,56608,24,79,5,0,2.24294116348308,1
Installdp,2010428,15,176,4333,0,3.2086225502386068,1
DropBox,109464,30,143,1,0,2.5165585163836326,1
GUI,416864,32,390,102,0,2.856590548169211,1
tool,174192,16,47,14,0,2.95537716791355,1
VisualStudioUpdater_Patch,6964136,15,227,1,0,3.2798822778635714,1
Cointrazer,56224,27,87,1,0,2.1909456701292642,1
Licatrade,56512,29,90,1,0,2.229063060301677,1
Clapzok,84794,13,86,1,0,2.7376686324486537,1
Esilet-tmpg7lpp,39156,9,68,0,0,3.2109762199250795,1
FinderFontsUpdater,186240,19,26,1,0,2.579571440871484,1
safarifontsagent,153424,9,49,1,0,3.38756330373813,1
Coinbase_online_careers_2022_07.pdf_,958160,9,34,1,0,3.519567310022057,1
Installer,459248,14,133,63,0,3.096941896486966,1
Dockster,241621,13,115,0,0,3.2248659153331554,1
Lamzev,34308,9,29,0,0,2.369430704466194,1
wsus,8136408,19,1683,6194,0,3.2265323914849957,1
binder,1766908,26,71,14,0,2.5323915187855244,1
kextd,89116,28,111,0,0,2.46876162394286,1
lsd,78704,32,137,1,0,2.376242902713293,1
lsd,78704,32,137,1,0,2.376242902713293,1
darwinx64,3866806,1,0,0,0,7.876215888010478,1
init,57832,11,44,21,0,2.8918928389163603,1
IceFog,32748,27,54,1,0,2.295320324380818,1
CodeSignature,230464,24,66,1,0,2.467942437346674,1
Google Chrome,230464,24,66,1,0,2.4692021615651805,1
ResignTool,474832,28,251,1,0,2.840556786124349,1
mac,13783992,34,1100,18,0,3.070680246969915,1
Mokes,14371256,34,1085,1715,0,3.06246079814017,1
Trading View,790688,29,398,7,0,2.6251242943659006,1
MapperState.system,430544,25,343,20,0,2.9926540114608917,1
com.adobe.acc.network,12402432,15,432,8402,0,3.796169442423997,1
com.adobe.acc.localhost,1083052,14,265,313,0,3.3234400751365407,1
lauth,13646960,8,13,1,0,3.0971151644567145,1
com.adobe.acc.installer.v1,27568,7,2,1,0,2.2212713220959293,1
softwareupdate,708720,29,698,1,0,3.036446885544864,1
ZQEifWNV2l,152196,11,150,1,0,3.7480791485367773,1
ProcessRequest_2,171872,19,28,1,0,2.629273634111417,1
ProcessRequest,169488,12,18,1,0,2.754797875289436,1
BlackHole,4831572,9,1478,0,0,2.8205866688329317,1
installer,244988,33,105,11,0,2.462685204490572,1
logind,34432,26,51,11,0,2.346962400580599,1
helper,34292,26,55,11,0,2.151770458570638,1
installer,63396,29,75,11,0,2.275440823480767,1
helper3,27364,13,39,1,0,2.1932115413998727,1
logind,20392,7,40,0,0,2.826216016909105,1
logind,536860,14,21,0,0,2.532471456147417,1
arachnoidal,14733080,30,6965,14691,0,2.6006545737740154,1
activity_agent,468572,33,260,1,0,2.769990409561866,1
Elmedia Player,44592,25,79,1,0,2.2564713827664833,1
Updater,724696,34,336,1,0,2.9129975549750498,1
iWebUpdate,161624,14,65,1,0,2.7418772761878896,1
rShell_2,253712,13,177,117,0,3.633295678882723,1
rShell,253664,13,176,117,0,3.6381864821978662,1
CallMe,104140,13,57,0,0,2.3024761886887823,1
MacSecurity,311588,29,99,35,0,2.754437810545073,1
MacRansom,18492,8,40,1,0,3.144322063226962,1
MacKontrol,95828,19,77,6,0,2.4214317544198267,1
MacKontrol.dmg,100376,19,82,6,0,2.4562903304918464,1
WindowServer,892120,13,139,1,0,3.437741235557261,1
UpdateAgent,43139,15,47,1,0,2.9394421248766567,1
libffmpeg.dylib,4979136,13,100,1646,0,3.5118558080738302,1
Pintsized,695044,15,353,767,0,2.998111176797944,1
WeaponX,27608,4,240,0,0,2.82495357773707,1
nvh82ks.pyd,121200,14,80,1,0,2.644738262919323,1
updeventsd,277296,17,170,1,0,2.820469446652845,1
lsjnc8t.avif2,277200,17,169,1,0,2.835127012761475,1
Office 2016 Patcher,53712,26,68,1,0,2.268306074324994,1
libswiftDarwin.dylib,67264,22,58,217,0,2.5268008661665657,1
libswiftQuartzCore.dylib,48592,23,24,13,0,2.19708342096448,1
libswiftCoreGraphics.dylib,156256,26,174,263,0,2.4718903683842544,1
libswiftIOKit.dylib,35456,7,4,53,0,1.8362368716413493,1
libswiftDispatch.dylib,347584,34,232,936,0,2.7524448076309542,1
libswiftCore.dylib,5297152,43,229,7644,0,2.83500869225024,1
libswiftFoundation.dylib,1966544,38,656,4211,0,2.83508655439188,1
libswiftAppKit.dylib,106304,28,115,89,0,2.311110449400405,1
libswiftObjectiveC.dylib,57552,28,64,85,0,2.297725542186636,1
libswiftCoreImage.dylib,35584,6,8,1,0,1.1754846694108296,1
libswiftCoreData.dylib,102656,26,82,220,0,2.2827097982286526,1
libswiftXPC.dylib,36528,14,30,28,0,1.5805291829574881,1
License.rtf,3097280,16,87,6,0,2.955588943178916,1
GoPhoto,478448,32,177,1,0,3.065243071045905,1
kitty,55298,14,50,8,0,2.9834626077450537,1
Yontoo,386000,26,1397,1,0,3.522673560993622,1
General.rtf,139264,2,0,0,0,0.0,1
xmrig2,402812,16,95,183,0,2.6201604254763033,1
growth,5337372,13,131,18,0,2.5591119148190598,1
LessonOne,230128,34,179,1,0,2.5827444083616236,1
AwesomeTemplate,20387920,33,375,2637,0,2.792829887818077,1
locker_Apple_M1_64,412227,13,118,469,0,3.4129467425417035,1
254a442ce7d8a2fcfb83c1db2c6d606685906301dc375a9150e987607d422804,34216,6,25,2,0,3.0298338627606225,1
SniperSpy,68376,24,44,13,0,2.675141294554008,1
a83fbe4cffc9d931365a7dd5ea01b8b04df0ec69ac51a4cbb59907459a1a0936,76476,11,67,0,0,2.4442713330728725,1
302d359c329122f0e7638ac7d29af2d4d3f2980cb1256bd3c0f08a1671e079f0,65600,11,0,0,0,1.5561041750501716,1
ConduitNPAPIPlugin,49704,28,60,36,0,2.0062619370899695,1
SearchProtect,277956,31,327,9,0,2.4830316017082485,1
EasyDoc Converter,131400,28,76,1,0,2.4971833879774032,1
libevent-2.0.5.dylib,353600,13,85,0,0,3.2025956343169457,1
conn,4162888,15,236,0,0,3.3883398731930905,1
nc,29752,13,57,54,0,2.804321454800994,1
wacaw,76020,30,94,0,0,1.046793752503825,1
script,35423119,21,5153,32674,0,3.267502398712741,1
GrowlHelper,210964,13,190,0,0,2.90065777808635,1
FlashBack,59861,12,47,1,0,3.0712609154102,1
DevilRobber,13088,8,27,0,0,2.6241877922830117,1
fxagent,34852,10,69,0,0,2.667094384755575,1
openal.dylib,256696,19,4,0,0,2.9261068811403215,1
libjinput-osx.jnilib,64608,8,28,0,0,3.197903806297311,1
liblwjgl.jnilib,1213968,14,35,0,0,2.2736278038385374,1
AppStore,50672,28,47,1,0,2.4981061838797607,1
AppStore,190432,28,49,1,0,2.44769931027352,1
mt.dat,28884,10,41,41,0,2.509583920613597,1
helper,17000,1,0,0,0,7.585303604486586,1
WebTwainService,21096,1,0,0,0,6.6747880695755875,1
com.dynamsoft.WebHelper,194544,14,168,106,0,2.7620369351528553,1
vHook 3,69608,14,113,29,0,2.5038624002168888,1
unioncryptoupdater,79760,20,89,1,0,2.6887717264404785,1
CrashReporter,39168,18,48,1,0,2.4833155452092024,1
Updater,50320,12,104,25,0,3.3075558150804483,1
Calisto,120400,26,211,1,0,2.502872288195189,1
MacKeeper,837600,33,270,1,0,2.6514572791989357,1
usrnode,109376,31,125,1,0,2.5606215451020526,1
usrnode,109312,31,124,1,0,2.5420086981292247,1
usrnode,109376,31,125,1,0,2.5606215451020526,1
usrnode,109440,31,126,1,0,2.5663215150403778,1
OOMP,39596,11,112,0,0,2.489406176923765,1
7bb9b3ea882db648578ea396a9a8cec5.bin,73360,10,61,22,0,2.3840275207343926,1
Stage_3,11843410,14,247,1978,0,2.943568823070214,1
swiftBucket_stage2,239008,20,159,2,0,2.4227878572546353,1
Internal PDF Viewer,215488,26,64,1,0,2.7499065047255846,1
applet,8648,10,4,1,0,1.8861393374491076,1
types-config.ts,360176,14,123,1,0,3.2901720666923437,1
FileZilla-Installer,289856,2,0,0,0,0.0,1
MacSweeper,451960,25,151,0,0,2.5784732192466335,1
applet,361680,16,202,471,0,3.1249436509270128,1
FkCodec,1115952,33,420,577,0,2.6018695905047444,1
Application Stub,69308,31,113,6,0,2.2675488818010057,1
com.apple.audio.driver,983040,2,0,0,0,0.0,1
EmptyApplication,38324,12,26,2,0,2.4067333091792116,1
flashlightd,47944,1,0,0,0,7.745142611000004,1
spellagentd,108232,16,105,6,0,3.090955986702835,1
Noi dung chi tiet,96708,28,159,6,0,2.5830637647660417,1
2nd-stage.bin,650476,15,85,1,0,2.738707346622638,1
mount_devfs,266352,16,121,1,0,3.9332119140418467,1
Mabouia,53872,1,0,0,0,7.742257979561036,1
Enigma,17153627,14,93,1,0,2.379495999154677,1
CoinTicker,488672,33,359,1,0,2.8862082534863736,1
libswiftDarwin.dylib,89872,23,149,307,0,2.4654745551984685,1
libswiftMetal.dylib,69152,22,41,31,0,2.173046824415276,1
libswiftos.dylib,49840,20,62,34,0,2.2712512733005887,1
libswiftQuartzCore.dylib,52752,23,26,7,0,2.1595324945628556,1
libswiftCoreGraphics.dylib,188544,22,229,423,0,2.7749635256351093,1
libswiftIOKit.dylib,36432,7,5,53,0,1.8320328267484922,1
libswiftDispatch.dylib,302672,33,227,660,0,2.7881577334977226,1
libswiftCore.dylib,6152160,45,235,10750,0,2.7349522612727792,1
libswiftFoundation.dylib,2844560,37,815,3679,0,2.8929593059563965,1
libswiftAppKit.dylib,167216,32,177,183,0,2.498927295890252,1
libswiftObjectiveC.dylib,61312,28,73,56,0,2.312756908124196,1
libswiftCoreImage.dylib,40720,6,10,1,0,1.1758842567849452,1
libswiftCoreData.dylib,96192,25,70,220,0,2.254766560868707,1
libswiftCoreFoundation.dylib,32272,15,9,4,0,2.0998705398497375,1
libswiftXPC.dylib,36336,13,31,28,0,1.5493369122945306,1
Tored,2236384,9,1542,0,0,2.8284873982998633,1
KoobFace.dylib,44684,13,36,0,0,2.638075741531298,1
flashyComposer,2131776,9,1807,0,0,2.798100934994716,1
Leverage,2238993,9,1814,0,0,2.787413329496839,1
covid,704528,1,0,0,0,7.875785053924713,1
softwareupdated,11644464,13,105,0,0,3.045566423263805,1
Bitdefender Adware Removal Tool,290416,30,164,345,0,2.632854363095363,1
MacOs,1458520,1,0,0,0,7.925201297054983,1
6181875aaec9c1e3c39b2466e67b8c2f43f4246c89fbfa29093ba8d120d563c6,6593528,20,0,0,0,3.0326985345751702,1
macs,254016,31,195,0,0,2.6815689950468395,1
weed,551360,13,460,1026,0,3.1225141844797832,1
GoogleSoftwareUpdate,2844608,20,215,0,0,3.103860364929486,1
python,58432,11,60,3,0,2.7759910644950616,1
installer,108432,11,27,0,0,2.5613805447683915,1
sox,4048088,14,211,1836,0,3.2360611584811774,1
mt,65700,15,35,0,0,2.273405478117931,1
python.o,16532,15,6,0,0,2.891546308394401,1
libpython2.7.dylib,2613824,13,231,1384,0,3.6021374577665153,1
libpython2.7.a,2613824,13,231,1384,0,3.6021374577665153,1
Application Stub,79856,31,113,6,0,2.2675488818010057,1
applet,134144,4,2,1,0,2.6491858051067383,1
applet,134144,4,2,1,0,2.6491858051067383,1
WatchCat,66848,12,73,1,0,3.1561869021205102,1
macshare,54728,8,77,40,0,2.3552978694517472,1
ChatZum,39456,27,54,10,0,2.0521670194211428,1
JavaW,167936,2,0,0,0,0.0,1
Install,9028,11,18,0,0,2.4262583149283063,1
0,177044,11,14,1,0,3.2071765585029395,1
1,754384,26,287,0,0,3.2479943875872053,1
AdobePIM.dylib,1113824,21,274,33,0,3.8095062983211907,1
UpdaterInventory,331616,19,193,7,0,3.3887910654940097,1
UpdaterInventory,331616,19,193,7,0,3.3887910654940097,1
UpdaterInventory,331616,19,193,7,0,3.3887910654940097,1
arch,24228,17,40,16,0,1.9480712756070873,1
at,15292,18,32,15,0,1.9852288928805568,1
installer_v2021,2575107,17,182,335,0,2.9964639488486577,1
UserAgent_v2019,2348012,17,231,2239,0,3.598797244456357,1
kAgent,67376,29,140,50,0,2.3858768858461095,1
UserAgent_v2021,2068908,30,315,1251,0,3.081921354212545,1
client,2816772,17,180,342,0,2.994475171645395,1
i,587340,30,466,35,0,2.9572101717289723,1
Mughthesec,2700424,32,786,1834,0,2.8016566624498225,1
mac,496176,30,418,30,0,2.891782767479838,1
libcurl.4.dylib,357216,14,120,61,0,2.5795623077401215,1
CorelDRAW,730896,32,262,1,0,3.028798738542935,1
Wirenet,78140,14,130,1,0,3.34462206606545,1
Finder,63768,13,173,0,0,3.2575277813865218,1
libShellCommand,84864,28,121,7,0,2.309193974021994,1
libFileManage,111520,28,115,8,0,2.387315843329356,1
libProcessAndApp,108496,30,134,10,0,2.2516144565681375,1
libCameraShot,95440,29,146,6,0,2.2481761028951013,1
libAudioRecorder,87184,28,129,4,0,2.1922112970075918,1
C40F0D27 2,1252656,31,1086,281,0,2.996445183639585,1
ddss,13456,8,16,6,0,2.420990435618503,1
libKeyChains,125248,31,194,10,0,2.3417688137836645,1
libBrowserHistory,84480,28,109,4,0,2.1262030902535227,1
libLanDevices,127536,28,183,14,0,2.2115749779050335,1
libWifiList,107920,30,134,10,0,2.281289246272025,1
HackBrowserData,18028224,15,106,0,0,3.2036392249599124,1
xcassets,22032,9,26,1,0,3.1466937266471304,1
Pods,22032,9,26,1,0,3.143960699387933,1
xcassets(1),22032,9,26,1,0,3.146973592642404,1
applet,8648,10,4,1,0,1.8861393374491076,1
